id,loan_status,prob
58645,1,0.9987
58646,0,0.0231
58647,1,0.6044
58648,0,0.0094
58649,0,0.065
58650,1,0.9491
58651,0,0.0028
58652,0,0.0086
58653,0,0.2315
58654,0,0.0212
58655,0,0.0381
58656,0,0.0709
58657,0,0.018
58658,0,0.0079
58659,0,0.0219
58660,0,0.1228
58661,0,0.0119
58662,0,0.0013
58663,0,0.0395
58664,0,0.007
58665,0,0.0243
58666,0,0.014
58667,0,0.0035
58668,0,0.0073
58669,0,0.0096
58670,0,0.0022
58671,0,0.2233
58672,0,0.0037
58673,1,0.7973
58674,0,0.014
58675,0,0.0146
58676,0,0.217
58677,0,0.0358
58678,0,0.0046
58679,0,0.2914
58680,1,0.9835
58681,0,0.0225
58682,0,0.0024
58683,0,0.0051
58684,0,0.2613
58685,0,0.1489
58686,0,0.0314
58687,1,0.7034
58688,0,0.0456
58689,0,0.2978
58690,0,0.0008
58691,0,0.0237
58692,0,0.0234
58693,0,0.0072
58694,0,0.0412
58695,1,0.9667
58696,0,0.0201
58697,0,0.0457
58698,0,0.0169
58699,0,0.013
58700,0,0.0076
58701,0,0.0056
58702,0,0.0235
58703,0,0.1159
58704,1,0.5697
58705,0,0.197
58706,0,0.0137
58707,0,0.0148
58708,0,0.0294
58709,1,0.9176
58710,0,0.0486
58711,1,0.9418
58712,0,0.096
58713,0,0.0037
58714,0,0.0251
58715,0,0.0051
58716,0,0.1874
58717,0,0.02
58718,0,0.0793
58719,0,0.0086
58720,0,0.0011
58721,0,0.0507
58722,0,0.1673
58723,0,0.0207
58724,0,0.0231
58725,0,0.0206
58726,0,0.0177
58727,0,0.1824
58728,0,0.1377
58729,0,0.0126
58730,0,0.0045
58731,0,0.0148
58732,0,0.2411
58733,0,0.0007
58734,0,0.0142
58735,0,0.0229
58736,0,0.0628
58737,0,0.0349
58738,1,0.9921
58739,0,0.069
58740,1,0.9499
58741,0,0.0443
58742,0,0.005
58743,0,0.0203
58744,0,0.0071
58745,0,0.007
58746,0,0.0579
58747,0,0.0062
58748,0,0.0192
58749,0,0.0262
58750,0,0.0092
58751,0,0.0499
58752,1,0.7994
58753,0,0.0036
58754,0,0.0777
58755,0,0.1565
58756,0,0.0048
58757,0,0.022
58758,0,0.0108
58759,0,0.0011
58760,0,0.0014
58761,0,0.0152
58762,0,0.0049
58763,1,0.9812
58764,0,0.0018
58765,0,0.0242
58766,0,0.0129
58767,0,0.0149
58768,1,0.9359
58769,0,0.0031
58770,0,0.0283
58771,0,0.0397
58772,0,0.0261
58773,0,0.0177
58774,0,0.0167
58775,1,0.9593
58776,1,0.7279
58777,0,0.0104
58778,0,0.0137
58779,0,0.0313
58780,0,0.0164
58781,0,0.0122
58782,0,0.0349
58783,0,0.041
58784,0,0.009
58785,0,0.0057
58786,0,0.1135
58787,0,0.0312
58788,0,0.1183
58789,0,0.0216
58790,0,0.0237
58791,0,0.0907
58792,0,0.0009
58793,0,0.0501
58794,0,0.0117
58795,0,0.0232
58796,0,0.0249
58797,0,0.0192
58798,0,0.074
58799,1,0.7972
58800,0,0.0287
58801,0,0.0032
58802,1,0.8693
58803,0,0.2304
58804,0,0.4817
58805,1,0.8816
58806,0,0.042
58807,0,0.0109
58808,0,0.01
58809,1,0.9548
58810,1,0.9186
58811,0,0.0222
58812,0,0.0306
58813,0,0.0308
58814,0,0.0104
58815,0,0.007
58816,0,0.0135
58817,0,0.0018
58818,0,0.0477
58819,0,0.0765
58820,0,0.0028
58821,0,0.0268
58822,0,0.0042
58823,0,0.1294
58824,0,0.0523
58825,0,0.0016
58826,0,0.1025
58827,0,0.029
58828,0,0.0035
58829,0,0.0401
58830,0,0.0093
58831,0,0.117
58832,0,0.0162
58833,0,0.008
58834,0,0.0112
58835,1,0.9656
58836,0,0.051
58837,0,0.0819
58838,0,0.0076
58839,0,0.0016
58840,0,0.0068
58841,1,0.9535
58842,0,0.0024
58843,0,0.0167
58844,0,0.0532
58845,0,0.0456
58846,0,0.0006
58847,1,0.9504
58848,0,0.132
58849,0,0.1478
58850,0,0.0292
58851,0,0.1505
58852,0,0.2645
58853,0,0.0266
58854,1,0.9885
58855,0,0.247
58856,0,0.0036
58857,0,0.0632
58858,0,0.2189
58859,0,0.0163
58860,0,0.0058
58861,0,0.0327
58862,0,0.163
58863,0,0.313
58864,0,0.014
58865,1,0.5111
58866,0,0.0297
58867,0,0.0007
58868,0,0.0196
58869,0,0.0131
58870,0,0.1692
58871,0,0.0061
58872,0,0.0261
58873,0,0.0128
58874,1,0.9572
58875,0,0.0109
58876,0,0.0102
58877,0,0.0018
58878,0,0.0196
58879,0,0.0067
58880,0,0.0107
58881,0,0.0221
58882,0,0.003
58883,0,0.0874
58884,0,0.1513
58885,0,0.121
58886,0,0.0018
58887,1,0.9667
58888,1,0.515
58889,1,0.9789
58890,0,0.1021
58891,0,0.3979
58892,0,0.0597
58893,0,0.0113
58894,0,0.0614
58895,0,0.0036
58896,0,0.0044
58897,0,0.029
58898,0,0.1067
58899,1,0.9608
58900,0,0.0111
58901,0,0.0406
58902,0,0.0931
58903,0,0.0046
58904,0,0.027
58905,0,0.0035
58906,0,0.0729
58907,0,0.0485
58908,0,0.009
58909,0,0.053
58910,0,0.0048
58911,0,0.0197
58912,0,0.0026
58913,0,0.165
58914,0,0.0134
58915,0,0.016
58916,0,0.0182
58917,0,0.1154
58918,0,0.015
58919,0,0.0096
58920,0,0.227
58921,0,0.0103
58922,0,0.032
58923,0,0.0061
58924,0,0.0373
58925,0,0.0116
58926,0,0.2859
58927,0,0.0146
58928,0,0.1107
58929,0,0.003
58930,0,0.0146
58931,1,0.9728
58932,1,0.99
58933,0,0.2119
58934,0,0.0516
58935,0,0.0185
58936,0,0.0358
58937,0,0.0141
58938,0,0.0121
58939,0,0.008
58940,0,0.0093
58941,1,0.9604
58942,1,0.9321
58943,0,0.023
58944,0,0.0185
58945,0,0.0364
58946,0,0.0259
58947,0,0.0119
58948,0,0.0214
58949,0,0.0078
58950,0,0.4461
58951,0,0.0845
58952,0,0.007
58953,0,0.3617
58954,1,0.9895
58955,0,0.0239
58956,0,0.0024
58957,1,0.9945
58958,1,0.9988
58959,0,0.0081
58960,0,0.0228
58961,0,0.0049
58962,0,0.1147
58963,0,0.0479
58964,0,0.0266
58965,0,0.027
58966,0,0.021
58967,0,0.0088
58968,0,0.0092
58969,0,0.3346
58970,0,0.0042
58971,0,0.0984
58972,0,0.0558
58973,1,0.9713
58974,0,0.0923
58975,0,0.0499
58976,0,0.0358
58977,0,0.0375
58978,0,0.0232
58979,0,0.0221
58980,0,0.0122
58981,0,0.0028
58982,0,0.0056
58983,0,0.006
58984,0,0.0177
58985,0,0.0222
58986,1,0.9794
58987,0,0.0049
58988,0,0.03
58989,0,0.028
58990,0,0.0017
58991,0,0.0166
58992,0,0.0128
58993,0,0.0035
58994,0,0.0138
58995,1,0.9955
58996,0,0.0288
58997,1,0.8955
58998,0,0.0036
58999,0,0.015
59000,0,0.0752
59001,0,0.0891
59002,0,0.0998
59003,0,0.0441
59004,0,0.0391
59005,0,0.004
59006,0,0.0268
59007,0,0.0268
59008,1,0.9861
59009,0,0.0157
59010,0,0.007
59011,0,0.0188
59012,0,0.0114
59013,0,0.0022
59014,0,0.0112
59015,0,0.0753
59016,0,0.011
59017,0,0.0314
59018,0,0.0323
59019,0,0.0063
59020,0,0.0079
59021,0,0.024
59022,0,0.061
59023,1,0.9877
59024,0,0.0255
59025,1,0.9896
59026,0,0.0143
59027,0,0.014
59028,0,0.0306
59029,0,0.0281
59030,0,0.0064
59031,1,0.9863
59032,1,0.7903
59033,0,0.0829
59034,0,0.0664
59035,0,0.0167
59036,0,0.0837
59037,0,0.088
59038,0,0.0099
59039,0,0.0291
59040,0,0.0133
59041,0,0.0167
59042,0,0.046
59043,1,0.9825
59044,0,0.0058
59045,0,0.0085
59046,0,0.1944
59047,0,0.2733
59048,0,0.0083
59049,0,0.0365
59050,0,0.0053
59051,0,0.0262
59052,0,0.0036
59053,0,0.0181
59054,0,0.032
59055,0,0.0476
59056,0,0.0066
59057,1,0.9713
59058,0,0.0052
59059,0,0.2013
59060,0,0.0035
59061,0,0.0038
59062,0,0.019
59063,0,0.0027
59064,0,0.0146
59065,0,0.0014
59066,0,0.0256
59067,0,0.0061
59068,0,0.0372
59069,0,0.0216
59070,0,0.0128
59071,0,0.0809
59072,0,0.0175
59073,1,0.9614
59074,0,0.0138
59075,0,0.0373
59076,0,0.0155
59077,1,0.9881
59078,0,0.0977
59079,0,0.0369
59080,0,0.0061
59081,0,0.0246
59082,0,0.0417
59083,0,0.0051
59084,0,0.0025
59085,0,0.0321
59086,0,0.2259
59087,0,0.065
59088,0,0.0426
59089,0,0.0503
59090,0,0.0503
59091,0,0.0029
59092,0,0.1452
59093,0,0.0177
59094,0,0.0119
59095,0,0.0017
59096,1,0.975
59097,0,0.1012
59098,0,0.0225
59099,0,0.0109
59100,0,0.0043
59101,0,0.0063
59102,0,0.0171
59103,0,0.0179
59104,0,0.003
59105,0,0.045
59106,0,0.0026
59107,0,0.0492
59108,0,0.036
59109,0,0.0447
59110,0,0.0132
59111,0,0.0093
59112,0,0.0227
59113,1,0.9897
59114,0,0.0311
59115,0,0.1298
59116,0,0.0031
59117,0,0.0111
59118,0,0.022
59119,0,0.0135
59120,0,0.005
59121,0,0.0064
59122,0,0.1904
59123,1,0.9934
59124,1,0.9114
59125,0,0.0538
