sepal_length,sepal_width,petal_length,petal_width,species,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0085,0.9573,0.0343
6.9,3.1,5.1,2.3,virginica,0.014,0.0298,0.9562
5.1,2.5,3.0,1.1,versicolor,0.036,0.9439,0.0201
4.4,2.9,,0.2,setosa,0.5124,0.3803,0.1073
5.9,3.0,5.1,1.8,virginica,0.0135,0.2459,0.7406
5.5,3.5,1.3,0.2,setosa,0.9597,0.0218,0.0185
5.6,,3.6,1.3,versicolor,0.0388,0.9482,0.013
6.5,3.0,5.2,2.0,virginica,0.0102,0.048,0.9417
5.3,3.7,1.5,0.2,setosa,0.9647,0.0193,0.016
5.1,3.4,1.5,,setosa,0.774,0.1607,0.0653
6.1,2.8,4.0,1.3,versicolor,0.0134,0.9751,0.0115
5.5,2.4,3.7,1.0,versicolor,0.0141,0.9743,0.0116
7.7,3.0,6.1,2.3,virginica,0.0256,0.0353,0.9391
6.9,3.1,4.9,1.5,versicolor,0.0209,0.7077,0.2714
6.0,2.2,5.0,1.5,versicolor,0.0219,0.5167,0.4614
