id,loan_status,probs
58645,1,0.9996
58646,0,0.0172
58647,1,0.8622
58648,0,0.0048
58649,0,0.0471
58650,1,0.9707
58651,0,0.0005
58652,0,0.004
58653,1,0.5747
58654,0,0.0355
58655,0,0.0897
58656,0,0.0477
58657,0,0.028
58658,0,0.0012
58659,0,0.0155
58660,0,0.101
58661,0,0.0088
58662,0,0.0002
58663,0,0.0785
58664,0,0.0014
58665,0,0.0159
58666,0,0.0046
58667,0,0.0002
58668,0,0.0047
58669,0,0.0084
58670,0,0.0
58671,0,0.1116
58672,0,0.0009
58673,1,0.7803
58674,0,0.0006
58675,0,0.0055
58676,0,0.2008
58677,0,0.0089
58678,0,0.0017
58679,0,0.3393
58680,1,0.996
58681,0,0.0361
58682,0,0.0005
58683,0,0.0008
58684,0,0.1966
58685,0,0.1479
58686,0,0.039
58687,1,0.6547
58688,0,0.1084
58689,0,0.3088
58690,0,0.0
58691,0,0.0062
58692,0,0.0177
58693,0,0.005
58694,0,0.1471
58695,1,0.9913
58696,0,0.0105
58697,0,0.0168
58698,0,0.0192
58699,0,0.0058
58700,0,0.0097
58701,0,0.0016
58702,0,0.0086
58703,0,0.046
58704,1,0.5623
58705,0,0.0581
58706,0,0.0141
58707,0,0.0085
58708,0,0.0266
58709,1,0.9629
58710,0,0.0543
58711,1,0.9747
58712,0,0.1051
58713,0,0.0003
58714,0,0.0154
58715,0,0.0057
58716,0,0.1334
58717,0,0.0407
58718,0,0.0414
58719,0,0.0014
58720,0,1e-04
58721,0,0.032
58722,0,0.1933
58723,0,0.0025
58724,0,0.0205
58725,0,0.0151
58726,0,0.0082
58727,0,0.1297
58728,0,0.0959
58729,0,0.0079
58730,0,0.0059
58731,0,0.0068
58732,0,0.0919
58733,0,0.0
58734,0,0.0089
58735,0,0.0162
58736,0,0.0603
58737,0,0.0245
58738,1,0.9879
58739,0,0.3678
58740,1,0.964
58741,0,0.0722
58742,0,0.0021
58743,0,0.0132
58744,0,0.0079
58745,0,0.0034
58746,0,0.0426
58747,0,0.0008
58748,0,0.0131
58749,0,0.0277
58750,0,0.0033
58751,0,0.0212
58752,1,0.8772
58753,0,0.0006
58754,0,0.1156
58755,0,0.1548
58756,0,0.0059
58757,0,0.0289
58758,0,0.0018
58759,0,0.0036
58760,0,0.0007
58761,0,0.0094
58762,0,0.0004
58763,1,0.9615
58764,0,0.0004
58765,0,0.0186
58766,0,0.0064
58767,0,0.0026
58768,1,0.9611
58769,0,0.0015
58770,0,0.0104
58771,0,0.0203
58772,0,0.0278
58773,0,0.0097
58774,0,0.0048
58775,1,0.9495
58776,1,0.9164
58777,0,0.0036
58778,0,0.1045
58779,0,0.0577
58780,0,0.0074
58781,0,0.0151
58782,0,0.0602
58783,0,0.0367
58784,0,0.0045
58785,0,0.0012
58786,0,0.0657
58787,0,0.0415
58788,0,0.1517
58789,0,0.0103
58790,0,0.0195
58791,0,0.0937
58792,0,0.0002
58793,0,0.0366
58794,0,0.0065
58795,0,0.0169
58796,0,0.0094
58797,0,0.0165
58798,0,0.0544
58799,1,0.9275
58800,0,0.0185
58801,0,0.0012
58802,1,0.9423
58803,0,0.244
58804,1,0.6397
58805,1,0.9158
58806,0,0.0238
58807,0,0.0091
58808,0,0.0194
58809,1,0.9777
58810,1,0.9592
58811,0,0.0277
58812,0,0.0217
58813,0,0.0742
58814,0,0.1482
58815,0,0.0015
58816,0,0.0063
58817,0,0.0012
58818,0,0.0227
58819,0,0.0877
58820,0,0.001
58821,0,0.0523
58822,0,0.0003
58823,0,0.2418
58824,0,0.0421
58825,0,0.0003
58826,0,0.1828
58827,0,0.0112
58828,0,0.0016
58829,0,0.0775
58830,0,0.0072
58831,0,0.2344
58832,0,0.0046
58833,0,0.0013
58834,0,0.002
58835,1,0.9826
58836,0,0.0202
58837,0,0.0373
58838,0,0.0029
58839,0,1e-04
58840,0,0.0028
58841,1,0.9617
58842,0,0.0025
58843,0,0.0082
58844,0,0.0637
58845,0,0.1023
58846,0,0.0
58847,1,0.9827
58848,0,0.1502
58849,0,0.1424
58850,0,0.0222
58851,0,0.0646
58852,0,0.2027
58853,0,0.0242
58854,1,0.9876
58855,1,0.5409
58856,0,0.001
58857,0,0.0084
58858,0,0.2678
58859,0,0.0094
58860,0,0.0019
58861,0,0.0113
58862,0,0.1539
58863,0,0.1932
58864,0,0.0045
58865,0,0.1764
58866,0,0.0053
58867,0,0.0
58868,0,0.0298
58869,0,0.0085
58870,0,0.12
58871,0,0.001
58872,0,0.0164
58873,0,0.0077
58874,1,0.9474
58875,0,0.0079
58876,0,0.0054
58877,0,0.0002
58878,0,0.0294
58879,0,0.0034
58880,0,0.0128
58881,0,0.0258
58882,0,0.0015
58883,0,0.2831
