id,Machine failure,Probability
136429,0,0.0021
136430,0,0.001
136431,0,0.0027
136432,0,0.0032
136433,0,0.0038
136434,0,0.0029
136435,0,0.0041
136436,0,0.0045
136437,0,0.001
136438,0,0.001
136439,0,0.0023
136440,0,0.0023
136441,0,0.0011
136442,0,0.0017
136443,0,0.0023
136444,0,0.0053
136445,0,0.001
136446,1,0.9928
136447,0,0.0023
136448,0,0.0014
136449,0,0.0056
136450,0,0.0041
136451,0,0.0203
136452,0,0.0209
136453,0,0.0038
136454,0,0.0014
136455,0,0.0014
136456,0,0.0067
136457,0,0.0071
136458,0,0.0046
136459,0,0.0042
136460,0,0.0028
136461,0,0.0012
136462,0,0.0198
136463,0,0.0022
136464,0,0.0026
136465,0,0.0014
136466,0,0.0021
136467,0,0.0011
136468,0,0.003
136469,0,0.0012
136470,0,0.0025
136471,0,0.0101
136472,0,0.0076
136473,0,0.0021
136474,0,0.0018
136475,0,0.0035
136476,0,0.0071
136477,0,0.0022
136478,0,0.0023
136479,0,0.0012
136480,0,0.0058
136481,0,0.0025
136482,0,0.0321
136483,0,0.0034
136484,0,0.001
136485,0,0.0014
136486,0,0.0021
136487,0,0.0014
136488,0,0.0045
136489,0,0.001
136490,0,0.0231
136491,0,0.0037
136492,0,0.0032
136493,0,0.0031
136494,0,0.0011
136495,0,0.0025
136496,0,0.0042
136497,0,0.0027
136498,0,0.009
136499,0,0.0014
136500,0,0.0007
136501,0,0.0013
136502,0,0.006
136503,0,0.0031
136504,0,0.001
136505,0,0.001
136506,0,0.0024
136507,0,0.0007
136508,0,0.0011
136509,0,0.0041
136510,0,0.0016
136511,0,0.0108
136512,0,0.0008
136513,0,0.0085
136514,0,0.0019
136515,0,0.0024
136516,0,0.0032
136517,0,0.0016
136518,0,0.0014
136519,0,0.0031
136520,0,0.0021
136521,0,0.0016
136522,0,0.003
136523,0,0.0011
136524,0,0.0012
136525,0,0.0057
136526,0,0.0062
136527,0,0.0079
136528,0,0.0011
136529,0,0.0062
136530,0,0.0031
136531,0,0.0032
136532,0,0.0041
136533,0,0.0032
136534,0,0.0004
136535,0,0.0021
136536,0,0.0023
136537,0,0.0008
136538,0,0.0048
136539,0,0.0011
136540,0,0.0021
136541,0,0.0007
136542,0,0.0043
136543,0,0.0072
136544,0,0.0022
136545,0,0.0044
136546,0,0.0008
136547,0,0.003
136548,0,0.0022
136549,0,0.0021
136550,0,0.0074
136551,0,0.0014
136552,0,0.0013
136553,0,0.0013
136554,0,0.0025
136555,0,0.0134
136556,0,0.0072
136557,0,0.0035
136558,0,0.0037
136559,0,0.0027
136560,0,0.0049
136561,0,0.0081
136562,0,0.0018
136563,0,0.0028
136564,0,0.0016
136565,0,0.0192
136566,0,0.0011
136567,0,0.0045
136568,0,0.0036
136569,0,0.0042
136570,0,0.0009
136571,0,0.0072
136572,0,0.0035
136573,0,0.0014
136574,0,0.0053
136575,0,0.0014
136576,0,0.0052
136577,0,0.0052
136578,0,0.0014
136579,0,0.0059
136580,0,0.0014
136581,0,0.0012
136582,0,0.0011
136583,0,0.0013
136584,0,0.0018
136585,0,0.0035
136586,0,0.0583
136587,0,0.0009
136588,0,0.0058
136589,0,0.0026
136590,0,0.0015
136591,0,0.0034
136592,0,0.0079
136593,0,0.0052
136594,0,0.0005
136595,0,0.0016
136596,0,0.0012
136597,0,0.0015
136598,0,0.005
136599,0,0.0023
136600,0,0.0016
136601,0,0.0052
136602,0,0.0069
136603,0,0.0035
136604,0,0.0012
136605,0,0.0064
136606,0,0.0021
136607,0,0.0036
136608,0,0.0026
136609,0,0.005
136610,0,0.0048
136611,0,0.0009
136612,0,0.0019
136613,0,0.0027
136614,0,0.001
136615,0,0.0006
136616,0,0.0015
136617,0,0.0096
136618,0,0.0018
136619,0,0.0016
136620,0,0.0015
136621,0,0.003
136622,0,0.002
136623,0,0.001
136624,0,0.0014
136625,0,0.0034
136626,0,0.0003
136627,0,0.0039
136628,0,0.0034
136629,0,0.0004
136630,0,0.0012
136631,0,0.006
136632,0,0.0038
136633,0,0.0015
136634,0,0.0016
136635,0,0.0128
136636,0,0.0142
